Student_ID,Attendance,Assignment_Score,Quiz_Score,Midterm,Final,GPA,LMS_Logins,Time_Spent,Discussion_Posts,Late_Submissions,Teacher_Feedback,Course_Completion,Previous_Result,Risk
STU0391,59.5,30.6,17.6,13.5,22.1,1.94,9,10.1,12.0,13,Poor,47.4,0,1
STU0716,58.6,51.2,49.0,32.4,59.6,1.9,45,60.7,13.0,9,Poor,58.2,0,1
STU0714,73.1,64.9,52.6,61.8,47.3,3.54,43,56.1,24.0,7,Good,74.5,0,0
STU0836,73.1,55.1,51.3,51.0,34.3,1.47,8,8.6,12.0,9,Fair,60.7,1,1
STU0242,79.8,56.8,54.6,49.4,46.4,2.35,27,76.2,18.0,4,Good,70.8,1,0
STU0308,89.2,92.8,78.7,88.9,100.0,3.26,66,82.7,27.0,2,Good,72.9,1,0
STU0295,67.4,65.0,70.6,50.5,55.9,2.56,48,28.4,21.0,11,Fair,70.6,0,1
STU0465,71.7,59.4,43.3,50.1,52.8,1.69,39,3.5,38.0,5,Poor,74.4,1,1
STU0718,89.7,70.7,72.7,76.6,66.0,2.87,70,72.6,31.0,10,Good,100.0,1,0
STU0839,100.0,100.0,95.8,84.7,100.0,3.65,43,98.8,40.0,0,Excellent,100.0,1,0
STU0289,79.1,78.2,68.2,51.7,52.3,2.81,29,76.3,16.0,11,Poor,73.1,0,0
STU0014,91.6,67.4,76.4,79.3,100.0,3.86,38,100.5,37.0,3,Excellent,88.4,0,0
STU0898,61.2,58.4,53.4,69.6,60.7,2.76,50,44.5,12.0,9,Poor,84.8,1,1
STU0363,87.4,65.1,71.8,78.6,71.2,3.87,66,157.9,20.0,2,Good,86.4,0,0
STU0952,100.0,73.8,75.2,96.4,55.9,3.14,61,97.7,22.0,7,Good,100.0,1,0
STU0900,52.6,37.4,51.8,41.8,27.1,1.96,11,18.5,1.0,9,Poor,93.6,1,1
STU0367,91.4,47.3,64.2,50.2,52.2,2.05,25,67.6,15.0,6,Poor,71.0,1,1
STU0188,70.6,53.0,44.1,34.0,33.4,1.98,12,22.5,0.0,9,Poor,80.5,0,1
STU0291,73.3,64.1,64.0,54.6,49.0,2.68,36,39.4,25.0,12,Fair,100.0,1,0
STU0772,100.0,84.2,84.5,65.3,47.7,3.6,72,118.6,39.0,6,Excellent,88.7,1,0
STU0270,79.0,70.7,58.9,51.2,56.6,2.39,51,61.0,27.0,9,Fair,88.7,1,0
STU0685,74.4,55.2,44.4,41.9,43.2,2.06,69,34.1,12.0,3,Poor,70.1,1,0
STU0154,74.6,55.2,47.5,52.1,39.8,2.86,52,63.8,25.0,9,Poor,80.2,1,0
STU0686,59.5,64.9,58.5,57.0,41.6,1.78,40,8.5,24.0,7,Poor,60.5,1,1
STU0493,67.5,57.3,66.5,53.3,44.6,2.42,45,9.0,,8,Poor,65.3,1,1
STU0442,85.6,73.2,72.1,66.5,36.5,2.37,65,31.0,41.0,0,Fair,80.9,1,0
STU0918,81.6,81.1,85.8,61.1,67.3,2.99,56,78.9,37.0,5,Excellent,89.2,0,0
STU0145,83.2,55.5,46.8,44.0,63.6,1.61,14,74.7,16.0,8,Poor,73.2,0,1
STU0491,100.0,75.2,83.4,62.7,100.0,3.16,59,101.6,34.0,6,Excellent,76.8,1,0
STU0824,72.5,43.6,28.3,26.7,15.4,1.41,15,24.1,11.0,15,Poor,83.0,0,1
STU0425,72.5,55.9,53.3,81.5,30.9,2.41,31,14.7,3.0,10,Poor,77.5,1,0
STU0550,77.4,77.8,75.5,77.8,59.6,2.66,75,62.5,13.0,7,Excellent,94.6,1,0
STU0190,93.6,86.3,87.8,69.4,100.0,3.19,65,116.2,34.0,4,Excellent,91.0,1,0
STU0793,89.2,74.8,62.1,64.2,77.2,2.78,62,24.3,26.0,5,Good,85.7,0,0
STU0868,78.8,66.1,71.9,74.9,47.8,2.89,50,87.5,0.0,7,Fair,69.9,0,0
STU0062,69.3,73.3,74.5,58.4,67.1,2.75,25,88.9,10.0,8,Excellent,71.7,0,0
STU0852,95.5,61.5,70.0,44.7,48.1,2.76,43,44.5,41.0,7,Fair,93.5,1,0
STU0745,87.1,72.7,73.4,96.1,58.2,2.89,32,15.0,18.0,2,Good,54.3,1,0
STU0167,96.1,97.8,99.5,64.5,60.0,2.5,53,56.9,24.0,1,Good,99.3,1,0
STU0312,97.2,78.1,70.8,75.4,67.0,2.53,49,49.5,18.0,7,Good,100.0,1,0
STU0350,94.4,84.3,87.5,72.1,90.8,3.45,40,74.1,34.0,3,Excellent,100.0,0,0
STU0248,92.6,75.4,78.3,72.4,96.7,4.0,48,92.8,35.0,0,Excellent,100.0,1,0
STU0666,63.0,38.3,43.6,16.4,41.5,1.68,0,,8.0,10,Poor,80.5,1,1
STU0947,100.0,64.3,81.4,81.7,82.7,3.13,15,12.9,24.0,10,Fair,93.2,1,0
STU0963,69.8,50.8,53.7,52.2,45.3,2.66,29,60.0,0.0,13,Poor,98.6,0,1
STU0325,100.0,91.5,63.4,99.2,77.8,3.66,56,153.0,46.0,3,Excellent,100.0,1,0
STU0639,93.7,73.6,75.9,72.5,62.7,3.1,52,44.1,34.0,7,Fair,83.3,0,0
STU0157,65.6,67.7,67.6,95.0,65.9,2.5,41,67.4,35.0,4,Good,86.7,1,0
STU0239,61.1,57.1,42.1,56.0,39.9,1.81,35,37.5,18.0,5,Poor,95.5,1,0
STU0961,72.0,88.3,71.0,100.0,77.9,3.4,58,92.9,8.0,1,Excellent,71.2,1,0
STU0449,86.5,78.0,83.3,71.3,96.2,3.72,37,61.7,37.0,0,Excellent,100.0,1,0
STU0559,65.3,56.3,61.0,49.3,48.1,1.76,25,27.6,13.0,10,Poor,66.1,1,1
STU0894,90.8,49.3,57.5,48.9,48.8,3.09,52,64.7,43.0,10,Poor,76.2,1,1
STU0544,89.9,62.8,67.9,63.2,43.4,2.13,53,42.1,25.0,10,Poor,74.3,0,0
STU0949,98.3,64.0,74.1,66.1,65.2,3.23,41,99.7,5.0,4,Good,81.5,1,0
STU0302,60.0,29.4,36.6,62.7,47.2,1.52,15,8.3,,14,Poor,62.0,0,1
STU0539,57.1,27.4,39.8,35.4,3.9,1.53,30,77.7,0.0,11,Poor,45.8,1,1
STU0848,62.0,68.1,67.6,100.0,81.7,3.62,18,73.3,31.0,1,Excellent,95.4,1,0
STU0125,85.7,75.4,72.8,76.4,82.9,2.93,71,51.1,11.0,5,Good,89.8,1,0
STU0284,73.5,78.3,70.9,83.5,60.7,3.22,45,24.4,20.0,3,Fair,87.6,1,0
STU0594,78.3,38.7,49.6,41.6,27.1,1.88,19,29.9,14.0,9,Poor,63.1,0,1
STU0905,67.0,62.9,51.9,32.2,75.8,2.91,57,47.7,23.0,8,Fair,68.5,1,0
STU0448,77.9,73.8,54.9,67.8,53.6,2.46,48,41.0,11.0,6,Poor,95.0,0,1
STU0083,81.4,64.7,48.3,58.3,53.8,2.49,55,47.7,36.0,7,Fair,78.1,0,1
STU0357,91.2,66.0,67.2,57.1,74.0,2.1,14,58.1,0.0,8,Good,86.9,1,0
STU0854,68.4,71.8,65.6,57.3,,2.16,35,77.2,19.0,8,Good,63.0,1,0
STU0509,69.5,74.7,64.4,59.2,37.6,2.4,35,50.5,29.0,7,Fair,69.0,1,0
STU0673,62.7,57.8,50.3,57.1,54.1,2.27,55,48.3,3.0,13,Poor,89.0,1,1
STU0042,85.3,80.9,75.5,67.7,66.3,2.66,50,104.4,41.0,6,Good,100.0,1,0
STU0077,97.7,71.0,57.6,54.5,17.8,2.56,36,26.0,35.0,14,Poor,86.2,0,1
STU0607,86.4,80.0,63.2,52.7,58.2,2.99,76,105.4,37.0,4,Excellent,87.9,1,0
STU0595,63.4,52.4,33.2,37.3,47.1,2.11,25,27.1,4.0,13,Poor,70.9,1,1
STU0235,72.9,59.1,45.9,44.2,62.6,2.03,31,60.4,18.0,8,Poor,81.0,1,0
STU0656,97.6,57.6,61.6,70.0,63.3,2.77,48,7.4,38.0,7,Good,79.3,1,0
STU0382,83.8,60.1,85.8,84.5,85.3,3.14,56,100.9,,5,Excellent,85.3,1,0
STU0629,66.3,55.5,43.2,60.1,32.2,2.31,27,73.5,1.0,7,Poor,71.4,1,1
STU0323,92.6,81.0,87.3,80.6,59.5,3.06,30,47.5,39.0,5,Excellent,100.0,1,0
STU0992,97.7,89.6,95.4,70.8,83.3,3.79,22,42.3,50.0,0,Excellent,88.6,1,0
STU0275,93.9,81.5,83.0,61.6,90.9,3.28,77,83.6,31.0,3,Excellent,85.0,1,0
STU0504,75.1,49.1,49.3,24.2,43.8,1.56,4,80.9,6.0,9,Poor,68.8,0,1
STU0938,74.7,55.6,74.7,65.3,35.8,2.87,60,80.8,15.0,9,Good,86.3,1,0
STU0932,93.2,68.6,76.2,76.8,54.8,2.65,28,87.3,32.0,4,Good,67.4,0,0
STU0738,98.3,75.0,70.6,91.6,84.4,3.33,73,64.5,13.0,8,Good,85.0,0,0
STU0700,88.7,65.0,52.8,43.3,55.7,1.89,20,102.9,38.0,7,Fair,89.0,0,1
STU0755,96.4,98.0,94.1,85.0,100.0,3.33,76,64.0,52.0,5,Excellent,100.0,1,0
STU0884,66.7,51.6,59.2,58.2,35.5,1.98,50,34.0,2.0,15,Poor,90.7,1,1
STU0407,75.6,66.5,64.2,67.8,50.1,2.03,42,53.8,33.0,3,Fair,59.3,1,0
STU0737,100.0,65.2,63.8,66.8,62.1,3.24,62,150.2,29.0,7,Fair,100.0,1,0
STU0468,99.9,80.3,98.1,67.3,87.8,4.0,49,62.2,39.0,0,Excellent,100.0,1,0
STU0560,71.3,53.3,65.7,37.8,27.5,1.69,24,0.0,0.0,8,Good,79.7,0,1
STU0224,78.8,58.2,42.8,22.6,25.1,2.19,54,17.5,12.0,5,Poor,71.0,0,1
STU0044,69.6,69.8,58.9,58.6,44.2,2.14,16,53.1,44.0,7,Fair,100.0,1,0
STU0967,93.1,64.6,72.6,45.2,49.3,2.23,34,70.7,17.0,9,Fair,78.5,1,0
STU0807,90.7,68.1,76.9,49.0,82.5,2.24,30,49.5,17.0,8,Fair,66.7,0,0
STU0692,83.2,50.2,50.8,56.3,58.6,2.39,35,84.4,13.0,9,Fair,75.1,1,0
STU0530,71.6,91.3,76.9,83.1,100.0,3.5,69,56.4,24.0,3,Excellent,100.0,1,0
STU0731,94.2,71.1,57.8,58.9,64.6,2.14,57,48.7,4.0,4,Good,83.5,1,0
STU0587,78.9,31.9,49.6,31.1,45.6,1.81,36,67.5,3.0,6,Poor,81.0,1,0
STU0546,79.2,62.0,56.7,50.8,56.6,3.15,29,84.6,10.0,8,Good,100.0,0,0
STU0631,98.9,77.2,83.1,93.9,63.5,2.84,64,111.6,39.0,1,Excellent,100.0,1,0
STU0991,83.6,80.4,79.2,77.5,53.5,2.39,63,89.6,34.0,4,Excellent,92.5,1,0
STU0661,85.4,63.1,33.6,35.8,9.1,1.85,17,28.8,,9,Poor,58.3,0,1
STU0645,72.0,49.7,72.0,52.7,52.7,2.86,45,75.9,21.0,5,Poor,85.4,1,0
STU0761,100.0,72.8,71.7,74.4,82.6,4.0,77,112.6,37.0,6,Excellent,95.8,1,0
STU0241,84.5,64.8,63.5,61.2,44.5,2.46,15,26.0,9.0,8,Fair,88.3,1,0
STU0691,81.3,65.8,55.3,74.3,78.7,3.46,33,83.0,36.0,10,Excellent,88.8,0,0
STU0212,81.2,44.8,55.9,40.4,40.4,2.18,24,19.6,0.0,12,Poor,57.5,0,1
STU0501,100.0,79.2,84.3,78.5,62.8,3.23,59,35.4,37.0,4,Excellent,100.0,1,0
STU0617,88.2,98.6,71.5,86.0,34.6,3.01,49,91.7,14.0,8,Good,100.0,1,0
STU0072,57.5,42.4,36.7,46.5,37.7,2.01,38,0.0,13.0,9,Poor,84.3,1,1
STU0994,93.2,90.8,100.0,72.4,72.5,3.26,78,105.1,36.0,3,Excellent,77.9,1,0
STU0775,69.4,75.1,59.3,74.3,56.1,3.55,19,56.6,23.0,5,Fair,82.0,1,0
STU0397,99.5,80.7,68.1,61.6,72.8,3.22,42,143.2,32.0,6,Good,96.7,1,0
STU0867,63.1,46.9,51.5,45.9,24.5,1.81,45,0.0,17.0,13,Poor,68.9,1,1
STU0813,83.8,71.5,62.3,58.5,63.1,2.99,51,22.7,22.0,7,Fair,73.6,1,1
STU0678,80.8,74.4,72.6,74.6,76.5,3.02,42,88.9,29.0,6,Good,79.3,1,0
STU0697,57.2,32.1,39.6,17.8,28.9,1.46,30,6.5,8.0,14,Poor,54.8,0,1
STU0452,87.3,74.6,63.6,74.7,61.7,2.54,39,61.2,16.0,4,Excellent,72.9,0,0
STU0519,93.2,75.2,78.8,74.6,70.5,3.43,54,81.7,16.0,6,Excellent,96.3,1,0
STU0870,91.5,67.3,67.6,67.1,59.5,3.33,34,29.8,2.0,6,Poor,81.9,1,1
STU0021,78.4,66.3,60.9,43.5,58.4,2.28,61,69.2,17.0,10,Fair,82.8,1,0
STU0750,69.3,61.5,59.0,63.2,21.1,2.11,1,56.6,20.0,6,Poor,60.9,1,1
STU0844,79.6,52.8,68.5,81.8,42.6,2.77,52,74.3,12.0,11,Fair,73.1,1,1
STU0306,92.5,32.5,45.9,51.4,41.1,2.7,37,43.1,,11,Poor,68.3,1,0
STU0091,89.2,69.9,72.7,85.8,99.9,3.12,67,43.3,14.0,4,Good,76.4,1,0
STU0103,72.2,66.2,52.3,65.0,42.8,2.82,21,35.5,16.0,6,Poor,86.6,1,0
STU0112,81.0,66.9,70.3,79.2,70.3,2.7,55,,12.0,6,Poor,97.0,1,0
STU0642,84.9,79.1,70.6,91.5,62.9,2.38,75,65.9,39.0,10,Excellent,99.6,0,0
STU0070,69.6,62.9,58.9,48.0,26.9,2.97,59,34.8,43.0,10,Poor,86.2,1,0
STU0379,98.7,89.2,82.6,73.5,80.1,3.44,62,144.0,43.0,1,Excellent,81.3,1,0
STU0747,94.1,84.8,94.0,68.0,99.4,3.0,83,53.6,24.0,0,Excellent,100.0,1,0
STU0417,100.0,98.0,69.4,78.7,93.6,3.46,68,,13.0,0,Excellent,90.1,1,0
STU0569,82.2,79.0,53.3,75.1,76.7,2.91,35,88.9,14.0,6,Fair,100.0,0,0
STU0218,86.4,65.4,78.2,95.6,87.9,3.8,43,120.9,13.0,8,Excellent,90.6,1,0
STU0438,82.3,28.4,52.7,46.2,51.4,2.03,14,31.5,6.0,9,Poor,74.7,1,1
STU0342,75.3,73.4,64.9,74.7,78.8,2.89,45,72.1,19.0,6,Poor,93.7,0,1
STU0113,77.1,49.1,64.1,71.5,40.5,2.33,28,63.1,15.0,6,Poor,91.7,1,0
STU0701,83.2,71.4,84.1,77.1,88.2,3.16,36,69.3,24.0,3,Excellent,86.9,1,0
STU0197,95.3,64.5,69.1,55.0,73.6,3.03,52,38.0,35.0,5,Excellent,81.9,1,0
STU0395,100.0,60.2,63.4,78.5,55.8,3.14,57,52.9,,6,Excellent,73.2,1,0
STU0759,100.0,66.1,77.4,75.4,57.0,3.11,45,126.7,17.0,5,Fair,82.3,1,0
STU0050,80.0,70.4,53.7,79.1,60.9,3.04,57,44.2,,8,Excellent,95.6,1,0
STU0356,81.2,72.8,46.1,32.0,53.2,3.08,11,55.1,21.0,8,Fair,72.7,1,0
STU0567,91.3,54.6,62.9,67.2,16.3,3.03,42,4.6,18.0,8,Fair,73.7,1,0
STU0492,80.1,70.6,61.1,55.0,53.5,2.03,75,68.6,24.0,7,Good,83.8,1,0
STU0047,97.6,73.0,79.4,79.9,71.7,3.45,12,100.8,39.0,5,Good,97.7,1,0
STU0259,68.7,78.2,71.2,48.5,76.4,2.06,43,17.6,28.0,7,Good,98.5,1,0
STU0117,70.0,78.1,66.4,56.5,77.6,3.06,52,32.1,31.0,8,Good,87.4,1,0
STU0039,65.5,61.7,44.2,38.6,36.0,1.62,36,20.6,5.0,9,Poor,88.8,1,1
STU0856,81.2,60.6,77.3,38.7,75.0,2.56,22,53.3,28.0,7,Fair,74.2,1,0
STU0211,83.0,85.0,81.1,75.2,75.0,3.29,53,78.2,16.0,5,Excellent,87.6,1,0
STU0107,69.8,42.8,64.2,55.8,11.4,2.44,41,57.3,15.0,11,Good,79.5,0,1
STU0475,69.2,72.5,62.3,54.6,60.7,3.08,52,56.3,21.0,7,Good,100.0,1,0
STU0038,78.9,50.6,61.9,47.2,44.5,1.92,13,81.7,7.0,6,Poor,65.6,1,1
STU0304,67.2,67.8,55.1,67.8,45.7,2.89,42,54.0,12.0,1,Poor,78.6,1,0
STU0707,67.9,50.5,55.7,45.2,49.0,2.5,28,54.0,0.0,7,Fair,95.9,1,0
STU0735,89.5,65.5,66.1,66.0,58.7,2.69,42,63.8,41.0,10,Excellent,100.0,1,0
STU0392,67.5,78.5,70.0,41.1,76.6,2.18,32,132.7,19.0,3,Fair,82.2,1,0
STU0497,64.1,44.8,39.9,45.6,21.6,1.43,34,20.7,3.0,11,Poor,63.3,0,1
STU0651,100.0,86.0,75.7,100.0,78.1,3.8,63,139.1,13.0,0,Excellent,63.6,1,0
STU0287,95.7,58.8,72.4,48.6,54.2,2.46,31,65.9,36.0,9,Fair,80.6,1,0
STU0943,79.8,62.6,69.1,58.3,63.9,3.15,64,36.9,23.0,10,Fair,96.4,1,0
STU0760,100.0,72.3,76.2,46.2,59.4,1.7,38,83.7,25.0,9,Excellent,63.7,1,0
STU0658,80.4,54.2,56.6,86.6,62.9,2.63,22,87.4,42.0,7,Good,79.6,1,0
STU0987,57.2,49.3,48.0,26.4,40.2,1.82,16,56.0,29.0,11,Poor,69.5,0,1
STU0971,80.5,60.4,68.9,38.0,51.9,2.65,43,89.4,12.0,8,Poor,81.4,1,0
STU0545,74.4,73.6,59.5,54.0,62.0,2.49,60,42.7,17.0,9,Good,64.0,1,0
STU0255,81.0,57.0,69.4,52.9,44.6,2.79,36,33.3,25.0,8,Poor,82.0,1,1
STU0612,72.3,67.0,73.2,55.3,88.9,2.54,38,83.7,6.0,6,Poor,80.3,1,0
STU0245,100.0,100.0,93.0,98.8,98.1,4.0,70,101.9,50.0,1,Excellent,88.7,1,0
STU0754,100.0,88.1,88.6,100.0,75.2,4.0,57,,25.0,0,Excellent,100.0,1,0
STU0959,73.8,63.7,64.6,53.4,66.9,2.14,39,41.6,22.0,14,Good,91.1,1,0
STU0753,63.9,47.6,36.2,43.6,48.3,2.48,57,61.5,12.0,10,Fair,49.5,0,1
STU0688,83.6,87.5,78.8,88.6,65.0,3.95,52,37.3,28.0,4,Excellent,100.0,1,0
STU0788,72.7,50.6,60.1,58.5,55.7,2.22,63,,38.0,11,Fair,88.3,1,0
STU0016,63.5,46.7,54.1,41.3,42.9,2.03,48,40.5,7.0,9,Poor,67.3,1,1
STU0902,95.5,75.9,51.6,70.5,61.7,2.59,22,70.5,31.0,7,Fair,94.1,1,0
STU0816,84.2,66.4,61.9,56.9,33.6,2.68,39,79.4,13.0,6,Fair,52.8,0,1
STU0489,65.7,57.6,65.2,49.3,50.1,1.84,22,55.4,28.0,12,Fair,72.8,1,0
STU0676,77.7,57.6,70.5,89.9,82.1,2.66,43,,4.0,6,Good,70.8,0,0
STU0984,75.4,73.5,74.2,55.6,96.2,3.3,54,76.0,17.0,5,Good,79.4,1,0
STU0221,93.8,62.7,61.1,74.8,76.3,2.85,22,47.1,39.0,7,Poor,88.8,0,0
STU0195,66.5,67.1,51.3,43.0,56.8,2.54,44,0.0,4.0,9,Poor,64.6,0,1
STU0934,97.7,97.8,92.3,98.9,94.0,3.55,57,105.4,20.0,2,Excellent,89.1,1,0
STU0871,82.5,76.6,49.8,65.4,48.3,2.87,66,46.8,18.0,7,Fair,98.3,1,0
STU0429,81.0,53.3,46.3,62.8,33.0,2.24,50,5.6,16.0,9,Poor,68.6,1,0
STU0619,86.5,60.6,48.7,56.0,84.1,2.32,35,14.3,32.0,7,Poor,74.4,0,0
STU0962,99.4,62.6,64.3,79.0,69.4,2.23,49,57.3,20.0,3,Excellent,65.7,1,0
STU0944,95.4,64.2,74.8,87.4,69.6,2.34,79,58.2,34.0,4,Excellent,96.2,1,0
STU0970,92.2,72.8,63.1,49.1,64.0,3.2,27,89.6,41.0,7,Poor,100.0,1,0
STU0403,88.6,75.0,75.4,64.8,64.0,2.64,46,63.7,25.0,5,Excellent,72.6,1,0
STU0649,72.8,66.7,67.6,79.9,64.0,2.18,38,29.4,23.0,3,Good,82.8,1,0
STU0494,84.7,63.3,61.6,70.7,54.1,2.71,57,73.5,23.0,5,Good,64.9,1,0
STU0505,55.9,25.8,38.4,18.5,0.0,1.05,0,5.4,4.0,15,Poor,59.1,0,1
STU0010,77.4,57.9,58.4,57.1,59.7,2.29,8,2.0,22.0,10,Poor,73.2,1,0
STU0127,100.0,99.2,100.0,82.4,97.0,3.62,77,75.3,27.0,1,Excellent,91.5,1,0
STU0602,72.7,67.6,68.8,81.4,49.8,2.8,47,68.1,5.0,8,Poor,60.0,0,1
STU0948,62.2,20.6,31.6,0.0,13.8,0.73,2,0.0,0.0,14,Poor,57.1,0,1
STU0573,98.2,72.1,79.4,69.3,67.5,2.25,18,60.7,19.0,4,Good,78.7,1,0
STU0496,69.7,69.3,94.1,74.5,57.1,3.29,50,97.8,23.0,7,Good,100.0,1,0
STU0582,66.1,49.7,57.8,68.3,49.8,2.19,32,11.9,19.0,11,Poor,83.9,0,1
STU0361,90.4,61.0,75.3,58.0,61.0,2.39,29,49.9,1.0,6,Good,74.9,1,0
STU0359,84.7,51.5,63.5,35.8,38.5,2.02,61,55.7,24.0,6,Fair,59.1,1,0
STU0011,72.5,67.6,62.2,100.0,78.7,3.41,58,119.1,37.0,6,Excellent,73.5,1,0
STU0638,73.0,59.3,47.7,60.3,26.5,2.44,38,27.4,30.0,5,Poor,80.9,0,1
STU0998,71.6,66.8,85.4,59.9,71.2,3.28,21,66.5,42.0,9,Excellent,68.2,1,0
STU0457,92.0,98.4,84.9,80.0,69.2,2.59,65,71.5,39.0,3,Fair,100.0,1,0
STU0466,64.5,60.4,50.5,78.9,58.2,2.57,45,101.1,20.0,5,Fair,84.2,1,0
STU0075,83.1,60.5,65.2,78.3,45.6,3.16,74,49.7,11.0,7,Fair,98.5,1,0
STU0045,89.8,61.4,52.0,65.2,48.5,1.97,36,66.8,18.0,5,Good,78.9,1,0
STU0632,100.0,92.5,84.7,100.0,82.0,4.0,94,154.2,27.0,0,Excellent,83.8,1,0
STU0191,94.8,100.0,90.2,69.8,100.0,3.64,71,80.6,31.0,0,Excellent,92.2,1,0
STU0882,87.2,89.7,82.4,92.1,78.6,3.04,52,86.1,44.0,1,Excellent,100.0,1,0
STU0997,84.8,78.4,61.3,84.6,67.6,3.15,28,74.9,44.0,5,Good,100.0,1,0
STU0059,70.9,55.7,47.2,40.0,51.9,2.2,53,42.4,6.0,6,Poor,93.2,0,0
STU0343,87.9,70.4,45.4,82.3,59.2,2.73,26,57.8,37.0,3,Good,81.3,1,0
STU0890,75.6,48.2,39.6,26.7,45.4,1.63,13,10.1,21.0,15,Poor,75.1,0,1
STU0257,73.3,77.8,71.2,59.8,43.8,3.06,55,68.6,23.0,1,Good,100.0,1,0
STU0076,61.3,76.8,59.7,61.1,60.0,3.04,38,63.9,1.0,0,Excellent,61.9,0,0
STU0199,73.5,77.8,61.0,73.2,32.4,2.44,27,118.2,,6,Fair,70.8,1,0
STU0875,51.8,32.9,41.3,17.3,13.3,1.16,18,47.5,0.0,14,Poor,65.9,0,1
STU0940,87.9,70.8,66.6,91.8,61.3,3.34,36,40.6,48.0,9,Excellent,100.0,1,0
STU0440,99.0,80.5,67.0,90.5,53.8,3.05,46,75.7,20.0,8,Fair,100.0,1,0
STU0583,80.0,66.6,58.7,57.5,55.9,3.01,25,76.0,13.0,4,Fair,88.4,0,0
STU0682,71.4,65.9,68.5,77.1,70.9,3.66,59,71.5,46.0,5,Good,95.0,1,0
STU0462,83.2,49.4,41.2,31.5,44.1,2.14,34,53.0,9.0,12,Poor,73.6,0,1
STU0832,97.1,86.8,90.6,100.0,60.2,3.58,59,113.6,23.0,0,Excellent,100.0,1,0
STU0354,82.5,79.4,74.5,63.5,53.8,2.81,34,81.3,,8,Good,91.0,1,0
STU0740,50.7,37.7,48.6,21.6,20.2,1.81,23,44.5,0.0,13,Poor,69.5,0,1
STU0823,94.0,60.7,55.1,42.8,58.4,2.06,24,17.9,12.0,6,Poor,74.4,0,0
